model,term,b,se_cluster_user,or,or_ci_low,or_ci_high,p,n
Task-FE clustered appropriate reliance,"C(user_group, Treatment('system'))[T.accuracy]",0.07736815369167283,0.29367183633544186,1.0804397710720766,0.6076059926271714,1.9212287454027306,0.7922029474781149,1465
Task-FE clustered appropriate reliance,"C(user_group, Treatment('system'))[T.analogy]",-0.2077641951618835,0.3035935555423342,0.8123985816434712,0.44806921352495044,1.4729676477082319,0.4937542944428295,1465
Task-FE clustered appropriate reliance,ai_correct,0.0790411173484078,0.30250155877833496,1.0822488203572933,0.5981809745091791,1.9580403909131345,0.7938676411781846,1465
Task-FE clustered appropriate reliance,"C(user_group, Treatment('system'))[T.accuracy]:ai_correct",0.009155855423132353,0.39648968034111576,1.0091978984828278,0.46395676125640667,2.1952054229020934,0.9815766542423681,1465
Task-FE clustered appropriate reliance,"C(user_group, Treatment('system'))[T.analogy]:ai_correct",-0.09371845938464736,0.4012726226120332,0.9105390798900144,0.4146946553914441,1.999257538596335,0.8153319523087232,1465
Task-FE clustered appropriate reliance,task_position,-0.03247041830929042,0.019420647706544572,0.9680510859955679,0.9318952271711983,1.0056097271169302,0.09453350800890273,1465
Task-FE clustered over-reliance,"C(user_group, Treatment('system'))[T.accuracy]",0.006067371752644726,0.30140515589327704,1.0060858155355317,0.5572804115883617,1.8163363491223328,0.9839394409307891,347
Task-FE clustered over-reliance,"C(user_group, Treatment('system'))[T.analogy]",0.19916412019065477,0.31557472171777445,1.2203822388307157,0.6574659295970399,2.265262338029106,0.5279649617161135,347
Task-FE clustered over-reliance,task_position,-0.0730953164413302,0.04071211796041961,0.9295122280054988,0.858223204995536,1.006722932895109,0.07258694277466798,347
Task-FE clustered under-reliance,"C(user_group, Treatment('system'))[T.accuracy]",-0.08517508245307262,0.2083864085216272,0.9183514830946814,0.6104173086601633,1.3816276742764,0.6827332165956195,1118
Task-FE clustered under-reliance,"C(user_group, Treatment('system'))[T.analogy]",0.2897633634767113,0.20201962181016575,1.3361112778859878,0.899249191696183,1.9852042830606917,0.15147732337285408,1118
Task-FE clustered under-reliance,task_position,0.06786063784072442,0.02315056769623417,1.0702161504519048,1.022740230052128,1.1198959178810404,0.0033757579881993714,1118
