window_start,window_end,accuracy,explanation_seeking_rate,mean_explanation_duration_s,adaptive_offer_fraction,adaptive_compliance_rate,lecture_seeking_rate,mean_lecture_duration_s
1,20,0.682,1.000,21.4,0.000,,0.000,0.0
11,30,0.714,0.950,18.5,0.000,,0.000,0.0
21,40,0.842,0.950,14.4,0.100,1.000,0.000,0.0
31,50,0.857,1.000,7.5,0.100,1.000,0.000,0.0
41,60,0.800,0.950,15.6,0.000,,0.000,0.0
51,70,0.737,0.950,17.7,0.000,,0.000,0.0
61,80,0.750,1.000,18.5,0.100,1.000,0.000,0.0
71,90,0.800,1.000,28.4,0.100,1.000,0.000,0.0
81,100,0.800,1.000,33.8,0.000,,0.000,0.0
91,110,0.750,1.000,31.3,0.000,,0.050,331.7
101,120,0.667,0.900,24.4,0.000,,0.050,331.7
111,130,0.765,0.850,39.4,0.000,,0.000,0.0
121,140,0.684,0.950,82.5,0.000,,0.000,0.0
131,150,0.700,1.000,116.1,0.000,,0.000,0.0
141,160,0.800,1.000,77.9,0.000,,0.000,0.0
151,170,0.565,1.000,39.6,0.000,,0.000,0.0
161,180,0.522,1.000,41.7,0.000,,0.050,44.0
171,190,0.700,1.000,41.9,0.100,1.000,0.100,149.4
181,200,0.714,1.000,73.8,0.100,1.000,0.050,254.7
191,210,0.565,1.000,89.9,0.100,1.000,0.050,675.2
201,220,0.545,1.000,71.7,0.300,1.000,0.150,458.2
211,230,0.600,1.000,71.2,0.200,1.000,0.150,349.7
221,240,0.750,1.000,57.7,0.200,1.000,0.100,333.5
231,250,0.850,1.000,35.3,0.300,1.000,0.100,341.7
241,260,0.739,1.000,34.9,0.200,1.000,0.050,366.1
251,270,0.760,1.000,32.3,0.150,1.000,0.000,0.0
261,280,0.714,0.950,33.7,0.150,1.000,0.050,27.4
271,290,0.556,0.900,57.9,0.100,1.000,0.050,27.4
281,300,0.684,0.900,76.9,0.000,,0.000,0.0
291,310,0.810,0.950,66.6,0.000,,0.000,0.0
301,320,0.762,1.000,82.9,0.000,,0.000,0.0
311,330,0.722,0.900,95.9,0.150,1.000,0.050,153.4
